flask,fish,fish_ID,population,dpf,treatment,il1bcq1,il1bcq2,il1bcq3,il1bmean_cq,il1bmean_efficiency_cq,il1bnormalized_expression,il1brelative_normalized_expression,il1bsqrtexpression,il1blogexpression,il1bregulation,il1bcompared_to_regulation_threshold,il1bp-value,il1bexceeds_p-value_threshold,tnfcq1,tnfcq2,tnfcq3,tnfmean_cq,tnfmean_efficiency_cq,tnfnormalized_expression,tnfrelative_normalized_expression,tnfsqrtexpression,tnflogexpression,tnfregulation,tnfcompared_to_regulation_threshold,tnfp-value,tnfexceeds_p-value_threshold,plate,run_date,initial_rna_conc,,
A1,1,1_3,BP,14,control,26.77372851,26.70860715,26.82097246,26.76776938,26.76776938,0.088956913,3.505021426,1.872170245,0.544690677,3.505021426,No change,9.06E-06,No,26.83936277,26.90938797,27.1578251,26.96885861,26.96885861,0.077383044,4.09128183,2.022691729,0.611859397,4.09128183,Up regulated,0.000328796,No,1,4/8/19,57.2,average,87.56170213
A1,4,4_6,BP,14,control,26.47075661,26.47354208,26.40617828,26.45015899,26.45015899,6.603741732,1.092110361,1.045040842,0.038266527,1.092110361,No change,0.031237697,Yes,26.21995391,26.16194657,26.26481606,26.21557218,26.21557218,7.769762551,1.247599913,1.116960121,0.096075336,1.247599913,No change,0.009611097,No,3,8/21/19,98.2,stdev,61.63465482
A1,7,7_9,BP,14,control,26.59689737,26.44943692,26.51478486,26.52037305,26.52037305,5.204505211,1.266319568,1.125308654,0.102543318,1.266319568,No change,0.002618402,No,26.40643507,26.3262602,26.59116352,26.44128627,26.44128627,5.49777476,1.033313047,1.016520067,0.014231913,1.033313047,No change,0.825165491,Yes,4,4/10/19,39.2,14 dpf average,67.11666667
A1,10,10_12,BP,14,control,27.66684825,27.556698,27.80564885,27.67639837,27.67639837,0.079738172,0.920377518,0.959363079,-0.036033999,-1.086510677,No change,0.343532183,Yes,27.57934739,27.76736162,27.46159245,27.60276715,27.60276715,0.083913431,1.249561452,1.117837847,0.096757619,1.249561452,No change,0.666838082,Yes,2,4/9/19,51.2,14 dpf stdev,28.58962516
A2,1,1_3,BP,14,oil,24.59953046,24.40856822,24.54738789,24.51849552,24.51849552,0.112143253,4.418594281,2.102045261,0.645284126,4.418594281,Up regulated,4.61E-05,No,24.4934831,24.41686115,24.49462669,24.46832365,24.46832365,0.116111809,6.138891785,2.477678709,0.788089978,6.138891785,Up regulated,1.70E-06,No,1,4/8/19,13,28 dpf average,108.8956522
A2,4,4_6,BP,14,oil,25.85161326,25.79018989,25.78461209,25.80880508,25.80880508,13.30578521,2.200477621,1.483400695,0.342516956,2.200477621,No change,7.08E-06,No,25.65112102,25.79538725,25.96451445,25.80367424,25.80367424,13.35319049,2.144137505,1.464287371,0.331252634,2.144137505,No change,0.001262767,No,3,8/21/19,50,28 dpf stdev,78.46441856
A2,7,7_9,BP,14,oil,26.02228561,26.08287137,26.08532965,26.06349554,26.06349554,4.109946134,1,1,0,1,No change,,No,25.92809113,25.44053357,25.70450916,25.69104462,25.69104462,5.320531637,1,1,0,1,No change,,No,4,4/10/19,18.6,,
A2,10,10_12,BP,14,oil,26.65302812,26.59505773,26.54882224,26.59896936,26.59896936,0.057946453,0.668846688,0.817830476,-0.174673419,-1.49511094,No change,0.005598533,No,26.31478576,26.41591995,26.46458107,26.39842892,26.39842892,0.066587934,0.991566126,0.995774134,-0.003678318,-1.008505609,No change,0.73657582,Yes,2,4/9/19,94,,
A3,1,1_3,BP,14,oil,25.94349702,25.98881536,26.03618389,25.98949876,25.98949876,0.201031331,2.320403295,1.523287003,0.365563473,2.320403295,No change,5.82E-05,No,26.07838702,26.23419389,26.14249765,26.15169285,26.15169285,0.179654649,2.675251397,1.635619576,0.427364599,2.675251397,No change,0.008196763,No,2,4/9/19,80.4,,
A3,4,4_6,BP,14,oil,25.62370795,25.65404769,25.73907962,25.67227842,25.67227842,0.146339273,5.765963231,2.401242018,0.760871869,5.765963231,Up regulated,4.70E-06,No,25.84542998,25.87212025,25.90994791,25.87583272,25.87583272,0.127082265,6.718905507,2.592085166,0.827298533,6.718905507,Up regulated,4.98E-07,No,1,4/8/19,72.6,,
A3,7,7_9,BP,14,oil,26.22342109,26.11800577,26.28068889,26.20737192,26.20737192,0.045291242,1.784535568,1.335865101,0.251525208,1.784535568,No change,0.000370315,No,26.43196787,26.72738205,26.67355123,26.61096705,26.61096705,0.034238915,1.810229256,1.345447604,0.257733579,1.810229256,No change,0.002850094,No,1,4/8/19,61.8,,
A3,10,10_12,BP,14,oil,26.52142112,26.41771043,26.42732641,26.45548599,26.45548599,6.04677143,1,1,0,1,No change,NaN,No,26.49246288,26.28391506,26.46242971,26.41293588,26.41293588,6.227767788,1,1,0,1,No change,NaN,No,3,8/21/19,136,,
A4,1,1_3,BP,14,oil,26.52145128,26.79884139,26.67124808,26.66384691,26.66384691,6.453126586,1.57012437,1.253046037,0.195934054,1.57012437,No change,0.002949724,No,26.77627859,26.5918402,26.79920138,26.72244006,26.72244006,6.196292209,1.1646002,1.079166438,0.06617686,1.1646002,No change,0.235287831,Yes,4,4/10/19,67.8,,
A4,4,4_6,BP,14,oil,26.4045252,26.70643287,26.45075828,26.52057212,26.52057212,4.501718547,0.744483002,0.862834284,-0.128145214,-1.343214012,No change,0.008418414,No,26.59813486,26.65172296,26.6856122,26.64515667,26.64515667,4.129283032,0.663043834,0.814275036,-0.178457759,-1.508195912,No change,0.002054932,No,3,8/21/19,55.2,,
A4,7,7_9,BP,14,oil,27.10600123,27.12088712,27.11279386,27.1132274,27.1132274,5.884969033,1.431884711,1.196613852,0.155908052,1.431884711,No change,8.71E-06,No,26.88978014,26.80000203,27.12199138,26.93725785,26.93725785,6.648387073,1.249571946,1.117842541,0.096761266,1.249571946,No change,0.127944207,Yes,4,4/10/19,38.8,,
A4,10,10_12,BP,14,oil,26.6765805,26.7154036,26.71198026,26.70132145,26.70132145,0.101470019,3.998054579,1.999513586,0.601848719,3.998054579,No change,5.14E-07,No,27.24272725,27.29606374,27.50414863,27.34764654,27.34764654,0.064829774,3.427583887,1.851373514,0.534988093,3.427583887,No change,0.000214899,No,1,4/8/19,87.2,,
A5,1,1_3,BP,14,control,27.48832462,27.63631314,NaN,27.59494414,27.59494414,0.025379848,1,1,0,1,No change,NaN,No,28.05088581,27.90081325,28.10579006,28.01916304,28.01916304,0.018914132,1,1,0,1,No change,,No,1,4/8/19,55.2,,
A5,4,4_6,BP,14,control,25.98603604,25.998958,26.06716051,26.01738485,26.01738485,7.539398284,1.834427517,1.354410395,0.263500556,1.834427517,No change,1.80E-05,No,25.7011953,25.99750036,26.08205981,25.92691849,25.92691849,8.027305191,1.508741182,1.22830826,0.178614745,1.508741182,No change,0.033151863,Yes,4,4/10/19,51,,
A5,7,7_9,BP,14,control,26.67365456,26.58305201,26.65690332,26.63786997,26.63786997,3.426892962,0.566731024,0.752815398,-0.246623013,-1.764505486,No change,6.72E-05,No,26.37598939,26.40126724,26.25159049,26.34294904,26.34294904,4.204173051,0.675069012,0.821625835,-0.170651827,-1.481330029,No change,0.003079801,No,3,8/21/19,99.6,,
