flask,fish,population,dpf,treatment,snv,ed,sbl,sba,il1bcq1,il1bcq2,il1bcq3,il1bmean_cq,il1bmean_efficiency_cq,il1bnormalized_expression,il1brelative_normalized_expression,il1bsqrtexpression,il1blogexpression,il1bregulation,il1bcompared_to_regulation_threshold,il1bp-value,il1bexceeds_p-value_threshold,tnfcq1,tnfcq2,tnfcq3,tnfmean_cq,tnfmean_efficiency_cq,tnfnormalized_expression,tnfrelative_normalized_expression,tnfsqrtexpression,tnflogexpression,tnfregulation,tnfcompared_to_regulation_threshold,tnfp-value,tnfexceeds_p-value_threshold,plate,run_date
A1,1,BP,14,control,4.216,0.679,0.743,0.237,26.77372851,26.70860715,26.82097246,26.76776938,26.76776938,0.088956913,3.505021426,1.872170245,0.544690677,3.505021426,No change,9.06E-06,No,26.83936277,26.90938797,27.1578251,26.96885861,26.96885861,0.077383044,4.09128183,2.022691729,0.611859397,4.09128183,Up regulated,0.000328796,No,1,4/8/19
A1,2,BP,14,control,4.452,0.687,0.866,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,3,BP,14,control,4.685,0.724,0.836,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,4,BP,14,control,4.65,0.714,0.901,0.309,26.47075661,26.47354208,26.40617828,26.45015899,26.45015899,6.603741732,1.092110361,1.045040842,0.038266527,1.092110361,No change,0.031237697,Yes,26.21995391,26.16194657,26.26481606,26.21557218,26.21557218,7.769762551,1.247599913,1.116960121,0.096075336,1.247599913,No change,0.009611097,No,3,8/21/19
A1,5,BP,14,control,4.204,0.661,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,6,BP,14,control,4.254,0.703,0.817,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,7,BP,14,control,4.217,0.682,0.811,0.231,26.59689737,26.44943692,26.51478486,26.52037305,26.52037305,5.204505211,1.266319568,1.125308654,0.102543318,1.266319568,No change,0.002618402,No,26.40643507,26.3262602,26.59116352,26.44128627,26.44128627,5.49777476,1.033313047,1.016520067,0.014231913,1.033313047,No change,0.825165491,Yes,4,4/10/19
A1,8,BP,14,control,4.168,0.684,0.745,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,9,BP,14,control,4.595,0.759,0.895,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,10,BP,14,control,4.573,0.711,0.806,0.265,27.66684825,27.556698,27.80564885,27.67639837,27.67639837,0.079738172,0.920377518,0.959363079,-0.036033999,-1.086510677,No change,0.343532183,Yes,27.57934739,27.76736162,27.46159245,27.60276715,27.60276715,0.083913431,1.249561452,1.117837847,0.096757619,1.249561452,No change,0.666838082,Yes,2,4/9/19
A1,11,BP,14,control,4.618,0.697,0.889,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,12,BP,14,control,4.341,0.702,0.769,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,1,BP,14,oil,4.092,0.659,0.771,0.185,24.59953046,24.40856822,24.54738789,24.51849552,24.51849552,0.112143253,4.418594281,2.102045261,0.645284126,4.418594281,Up regulated,4.61E-05,No,24.4934831,24.41686115,24.49462669,24.46832365,24.46832365,0.116111809,6.138891785,2.477678709,0.788089978,6.138891785,Up regulated,1.70E-06,No,1,4/8/19
A2,2,BP,14,oil,4.451,0.695,0.885,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,3,BP,14,oil,4.093,0.669,0.745,0.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,4,BP,14,oil,3.965,0.645,0.77,0.236,25.85161326,25.79018989,25.78461209,25.80880508,25.80880508,13.30578521,2.200477621,1.483400695,0.342516956,2.200477621,No change,7.08E-06,No,25.65112102,25.79538725,25.96451445,25.80367424,25.80367424,13.35319049,2.144137505,1.464287371,0.331252634,2.144137505,No change,0.001262767,No,3,8/21/19
A2,5,BP,14,oil,4.165,0.647,0.735,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,6,BP,14,oil,4.252,0.66,0.909,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
